N,K,Irrigation,Yield
120.0,80.0,0.75,8.804629242734137
85.0,55.0,0.75,5.720625768287221
155.0,55.0,0.75,7.348612288633635
85.0,105.0,0.75,6.957879898164996
155.0,105.0,0.75,8.97937524513675
85.0,80.0,0.55,6.035781811450696
155.0,80.0,0.55,8.040915272559552
85.0,80.0,0.95,7.101380887333802
155.0,80.0,0.95,8.42344784504154
120.0,55.0,0.55,6.765503278390728
120.0,105.0,0.55,8.00641727779034
120.0,55.0,0.95,7.636770454521896
120.0,105.0,0.95,8.692321338037575
76.25,80.0,0.75,6.102612431295069
158.5,80.0,0.75,8.762703216831598
120.0,51.25,0.75,7.3212396334547964
120.0,110.0,0.75,8.818228740534577
120.0,80.0,0.49,7.374588116805729
120.0,80.0,0.96,8.717082456595389
120.0,80.0,0.75,8.783299904936213
120.0,80.0,0.75,8.69804019603365
120.0,80.0,0.75,8.942012878934632
120.0,80.0,0.75,8.484650052725154
120.0,80.0,0.75,8.628742447101075
120.0,80.0,0.75,8.845330516508321
